,club,marketValueUnformatted,data_date,age,player_id,Name
0,Borussia Mönchengladbach U19,200000,2021-10-15,17,586659,Yvandro Borges Sanches
1,Borussia Mönchengladbach,600000,2022-09-21,18,586659,Yvandro Borges Sanches
2,Borussia Mönchengladbach,1500000,2022-11-09,18,586659,Yvandro Borges Sanches
